,RESELLER,GENDER,BRAND,Price_Original,LM_Ratings,LM_Positive
0,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
1,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
2,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
3,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
4,Vision Express,Kids unisex,SOLARIS,249.0,0,0.0
5,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
6,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
7,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
8,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
9,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
10,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
11,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
12,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
13,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
14,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
15,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
16,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
17,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
18,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
19,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
20,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
21,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
22,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
23,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
24,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
25,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
26,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
27,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
28,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
29,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
30,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
31,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
32,Vision Express,Kids unisex,POLAROID,169.0,0,0.0
33,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
34,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
35,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
36,Vision Express,Kids unisex,UNOFFICIAL,49.0,0,0.0
37,Vision Express,Kids unisex,RAY BAN,399.0,0,0.0
