,RESELLER,GENDER,BRAND,LM_Ratings,LM_Positive
0,Leksusgold,Woman,Caravelle,7,1.0
4,Leksusgold,Man,Timberland,7,1.0
22,Leksusgold,Unisex,Timberland,7,1.0
25,Leksusgold,Man,Casio,7,1.0
26,Leksusgold,Woman,Esprit,7,1.0
31,Leksusgold,Man,Balticus,7,1.0
32,Leksusgold,Woman,Michael Kors,7,1.0
33,Leksusgold,Man,Adriatica,7,1.0
35,Leksusgold,Man,TOMMY HILFIGER,7,1.0
38,Leksusgold,Man,Lorus,7,1.0
42,Leksusgold,Man,Diesel,7,1.0
43,Leksusgold,Woman,Guess,7,1.0
55,Leksusgold,Woman,Bulova,7,1.0
56,Leksusgold,Woman,Garett,7,1.0
57,Leksusgold,Woman,Daniel Wellington,7,1.0
90,Leksusgold,Man,Tissot,7,1.0
92,Leksusgold,Woman,Tissot,7,1.0
98,Leksusgold,Man,Tommy Hilfiger,7,1.0
99,Leksusgold,Woman,Tommy Hilfiger,7,1.0
117,Leksusgold,Woman,Casio,7,1.0
131,Leksusgold,Woman,Adriatica,7,1.0
156,Leksusgold,Man,LACOSTE,7,1.0
157,Leksusgold,Man,Lacoste,7,1.0
159,Leksusgold,Woman,Lacoste,7,1.0
188,Leksusgold,Woman,Q&Q,7,1.0
193,Leksusgold,Woman,Lorus,7,1.0
204,Leksusgold,Man,Caravelle,7,1.0
251,Leksusgold,Unisex,Lacoste,7,1.0
257,Leksusgold,Man,Maserati,7,1.0
263,Leksusgold,Woman,Maserati,7,1.0
389,Leksusgold,Woman,Bruno Calvani,7,1.0
393,Zegarek,Woman,Caravelle,349,0.98
395,Zegarek,Man,Kronaby,349,0.98
409,Zegarek,Woman,Kronaby,349,0.98
424,Zegarek,Unisex,Furla,349,0.98
466,Zegarek,Man,Swiss Military Hanowa,349,0.98
468,Zegarek,Man,Victorinox,349,0.98
470,Zegarek,Man,Festina,349,0.98
481,Zegarek,Woman,Festina,349,0.98
521,Zegarek,Man,FESTINA,349,0.98
1169,Zegarek,Man,Skagen,349,0.98
1203,Zegarek,Unisex,Festina,349,0.98
1280,Zegarek,Woman,Anne Klein,349,0.98
1289,Zegarek,Man,Knock Nocky,349,0.98
1297,Zegarek,Woman,Knock Nocky,349,0.98
1343,Zegarek,Woman,Sheen,349,0.98
1347,Zegarek,Woman,Lotus,349,0.98
1381,Zegarek,Man,Sekonda,349,0.98
1383,Zegarek,Woman,Sekonda,349,0.98
1427,Zegarek,Man,Police,349,0.98
1442,Zegarek,Woman,Police,349,0.98
1509,Zegarek,Man,Junghans,349,0.98
1516,Zegarek,Woman,Junghans,349,0.98
1517,Zegarek,Man,Timberland,349,0.98
1520,Zegarek,Woman,Timberland,349,0.98
1594,Zegarek,Unisex,Timberland,349,0.98
1602,Zegarek,Man,Delbana,349,0.98
1673,Zegarek,Woman,Nixon,349,0.98
1674,Zegarek,Man,Nixon,349,0.98
1676,Zegarek,Unisex,Scuderia Ferrari,349,0.98
1677,Zegarek,Unisex,Ferrari,349,0.98
1679,Zegarek,Man,Scuderia Ferrari,349,0.98
1680,Zegarek,Man,Ferrari,349,0.98
1702,Zegarek,Man,Sturmanskie,349,0.98
1751,Zegarek,Woman,Sturmanskie,349,0.98
1785,Zegarek,Man,Jaguar,349,0.98
1824,Zegarek,Woman,Jaguar,349,0.98
1864,Zegarek,Man,Davosa,349,0.98
1870,Zegarek,Woman,Davosa,349,0.98
1895,Zegarek,Woman,Versus,349,0.98
1915,Zegarek,Man,Versus,349,0.98
1969,Zegarek,Unisex,Versus,349,0.98
1981,Zegarek,Man,Certina,349,0.98
1985,Zegarek,Woman,Certina,349,0.98
1997,Zegarek,Man,Orient,349,0.98
2059,Zegarek,Man,Invicta,349,0.98
2102,Zegarek,Woman,Invicta,349,0.98
2129,Zegarek,Unisex,Invicta,349,0.98
2183,Zegarek,Woman,Victorinox,349,0.98
2233,Zegarek,Man,adidas,349,0.98
2236,Zegarek,Woman,adidas,349,0.98
2237,Zegarek,Unisex,adidas,349,0.98
2245,Zegarek,Man,Junkers,349,0.98
2246,Zegarek,Man,Iron Annie,349,0.98
2268,Zegarek,Man,Jack Pierre,349,0.98
2272,Zegarek,Woman,Marc Jacobs,349,0.98
2276,Zegarek,Man,Timex,349,0.98
2278,Zegarek,Woman,Timex,349,0.98
2280,Zegarek,Man,Casio,349,0.98
2285,Zegarek,Man,Swatch,349,0.98
2287,Zegarek,Woman,Michael Kors,349,0.98
2293,Zegarek,Man,Diesel,349,0.98
2295,Zegarek,Woman,Guess,349,0.98
