,RESELLER,Discount
0,Vision Express,NO
1,Vision Express,NO
2,Vision Express,NO
3,Vision Express,NO
4,Vision Express,NO
5,Vision Express,NO
6,Vision Express,NO
7,Vision Express,NO
8,Vision Express,NO
9,Vision Express,NO
10,Vision Express,NO
11,Vision Express,NO
12,Vision Express,NO
13,Vision Express,NO
14,Vision Express,NO
15,Vision Express,NO
16,Vision Express,NO
17,Vision Express,NO
18,Vision Express,NO
19,Vision Express,NO
20,Vision Express,NO
21,Vision Express,NO
22,Vision Express,NO
23,Vision Express,NO
24,Vision Express,NO
25,Vision Express,NO
26,Vision Express,NO
27,Vision Express,NO
28,Vision Express,NO
29,Vision Express,NO
30,Vision Express,NO
31,Vision Express,NO
32,Vision Express,NO
33,Vision Express,NO
34,Vision Express,NO
35,Vision Express,NO
36,Vision Express,NO
37,Vision Express,NO
38,Vision Express,NO
39,Vision Express,NO
40,Vision Express,NO
41,Vision Express,NO
42,Vision Express,NO
43,Vision Express,NO
44,Vision Express,NO
45,Vision Express,NO
46,Vision Express,NO
47,Vision Express,NO
48,Vision Express,NO
49,Vision Express,NO
50,Vision Express,NO
51,Vision Express,NO
52,Vision Express,NO
53,Vision Express,NO
54,Vision Express,NO
55,Vision Express,NO
56,Vision Express,NO
57,Vision Express,NO
58,Vision Express,NO
59,Vision Express,NO
60,Vision Express,NO
61,Vision Express,NO
62,Vision Express,NO
63,Vision Express,NO
64,Vision Express,NO
65,Vision Express,NO
66,Vision Express,NO
67,Vision Express,NO
68,Vision Express,NO
69,Vision Express,NO
70,Vision Express,NO
71,Vision Express,NO
72,Vision Express,NO
73,Vision Express,NO
74,Vision Express,NO
75,Vision Express,NO
76,Vision Express,NO
77,Vision Express,NO
78,Vision Express,NO
79,Vision Express,NO
80,Vision Express,NO
81,Vision Express,NO
82,Vision Express,NO
83,Vision Express,NO
84,Vision Express,NO
85,Vision Express,NO
86,Vision Express,NO
87,Vision Express,NO
88,Vision Express,NO
89,Vision Express,NO
90,Vision Express,NO
91,Vision Express,NO
92,Vision Express,NO
93,Vision Express,NO
94,Vision Express,NO
95,Vision Express,NO
96,Vision Express,NO
97,Vision Express,NO
98,Vision Express,NO
99,Vision Express,NO
100,Vision Express,NO
101,Vision Express,NO
102,Vision Express,NO
103,Vision Express,NO
104,Vision Express,NO
105,Vision Express,NO
106,Vision Express,NO
107,Vision Express,NO
108,Vision Express,NO
109,Vision Express,NO
110,Vision Express,NO
111,Vision Express,NO
112,Vision Express,NO
113,Vision Express,NO
114,Vision Express,NO
115,Vision Express,NO
116,Vision Express,NO
117,Vision Express,NO
118,Vision Express,NO
119,Vision Express,NO
120,Vision Express,NO
121,Vision Express,NO
122,Vision Express,NO
123,Vision Express,NO
124,Vision Express,NO
125,Vision Express,NO
126,Vision Express,NO
127,Vision Express,NO
128,Vision Express,NO
129,Vision Express,NO
130,Vision Express,NO
131,Vision Express,NO
132,Vision Express,NO
133,Vision Express,NO
134,Vision Express,NO
135,Vision Express,NO
136,Vision Express,NO
137,Vision Express,NO
138,Vision Express,NO
139,Vision Express,NO
140,Vision Express,NO
141,Vision Express,NO
142,Vision Express,NO
143,Vision Express,NO
144,Vision Express,NO
145,Vision Express,NO
146,Vision Express,NO
147,Vision Express,NO
148,Vision Express,NO
149,Vision Express,NO
150,Vision Express,NO
151,Vision Express,NO
152,Vision Express,NO
153,Vision Express,NO
154,Vision Express,NO
155,Vision Express,NO
156,Vision Express,NO
