,RESELLER,Discount
0,Answear,YES
1,Answear,NO
2,Answear,NO
3,Answear,NO
4,Answear,NO
5,Answear,NO
6,Answear,NO
7,Answear,NO
8,Answear,NO
9,Answear,NO
10,Answear,NO
11,Answear,NO
12,Answear,NO
13,Answear,NO
14,Answear,NO
15,Answear,NO
16,Answear,YES
17,Answear,YES
18,Answear,YES
19,Answear,YES
20,Answear,NO
21,Answear,NO
22,Answear,NO
23,Answear,NO
24,Answear,NO
25,Answear,NO
26,Answear,YES
27,Answear,YES
28,Answear,NO
29,Answear,NO
30,Answear,NO
31,Answear,NO
32,Answear,YES
33,Answear,YES
34,Answear,YES
35,Answear,YES
36,Answear,YES
37,Answear,YES
38,Answear,YES
39,Answear,YES
40,Answear,YES
41,Answear,YES
42,Answear,YES
43,Answear,YES
44,Answear,YES
45,Answear,YES
46,Answear,YES
47,Answear,NO
48,Answear,YES
49,Answear,YES
50,Answear,YES
51,Answear,YES
52,Answear,YES
53,Answear,YES
54,Answear,NO
55,Answear,YES
56,Answear,YES
57,Answear,YES
58,Answear,YES
59,Answear,YES
60,Answear,YES
61,Answear,YES
62,Answear,YES
63,Answear,YES
64,Answear,YES
65,Answear,YES
66,Answear,YES
67,Answear,YES
68,Answear,YES
69,Answear,YES
70,Answear,YES
71,Answear,YES
72,Answear,YES
73,Answear,YES
74,Answear,YES
75,Answear,YES
76,Answear,YES
77,Answear,YES
78,Answear,YES
79,Answear,YES
80,Answear,YES
81,Answear,YES
82,Answear,YES
83,Answear,YES
84,Answear,YES
85,Answear,YES
86,Answear,YES
87,Answear,YES
88,Answear,YES
89,Answear,YES
90,Answear,YES
91,Answear,YES
92,Answear,YES
93,Answear,YES
94,Answear,YES
95,Answear,YES
96,Answear,YES
97,Answear,YES
98,Answear,YES
99,Answear,YES
100,Answear,YES
101,Answear,YES
102,Answear,YES
103,Answear,YES
104,Answear,YES
105,Answear,YES
106,Answear,YES
107,Answear,YES
108,Answear,YES
109,Answear,YES
110,Answear,YES
111,Answear,YES
112,Answear,YES
113,Answear,YES
114,Answear,YES
115,Answear,YES
116,Answear,YES
117,Answear,YES
118,Answear,YES
119,Answear,YES
120,Answear,YES
121,Answear,YES
122,Answear,YES
123,Answear,YES
124,Answear,YES
125,Answear,YES
126,Answear,YES
127,Answear,YES
128,Answear,YES
129,Answear,YES
130,Answear,YES
131,Answear,YES
132,Answear,YES
133,Answear,YES
134,Answear,YES
135,Answear,YES
136,Answear,YES
137,Answear,YES
138,Answear,YES
139,Answear,YES
140,Answear,YES
141,Answear,YES
142,Answear,YES
143,Answear,YES
144,Answear,YES
145,Answear,YES
146,Answear,YES
147,Answear,YES
148,Answear,YES
149,Answear,YES
150,Answear,YES
151,Answear,YES
152,Answear,YES
153,Answear,YES
154,Answear,YES
155,Answear,YES
156,Answear,YES
157,Answear,YES
158,Answear,YES
159,Answear,YES
160,Answear,YES
161,Answear,NO
162,Answear,YES
163,Answear,YES
164,Answear,YES
165,Answear,YES
166,Answear,YES
167,Answear,YES
168,Answear,YES
169,Answear,YES
170,Answear,YES
171,Answear,YES
172,Answear,YES
173,Answear,YES
174,Answear,YES
175,Answear,YES
176,Answear,YES
177,Answear,YES
178,Answear,YES
179,Answear,YES
180,Answear,YES
181,Answear,YES
182,Answear,YES
183,Answear,YES
184,Answear,YES
185,Answear,YES
186,Answear,YES
187,Answear,YES
188,Answear,YES
189,Answear,YES
190,Answear,YES
191,Answear,YES
192,Answear,YES
193,Answear,YES
194,Answear,YES
195,Answear,YES
196,Answear,YES
197,Answear,YES
198,Answear,YES
199,Answear,YES
200,Answear,YES
201,Answear,YES
202,Answear,YES
203,Answear,YES
204,Answear,YES
205,Answear,YES
206,Answear,YES
207,Answear,NO
208,Answear,YES
209,Answear,YES
210,Answear,YES
211,Answear,YES
212,Answear,YES
213,Answear,YES
214,Answear,YES
215,Answear,YES
216,Answear,YES
217,Answear,YES
218,Answear,YES
219,Answear,YES
220,Answear,YES
221,Answear,YES
222,Answear,YES
223,Answear,YES
224,Answear,YES
225,Answear,YES
226,Answear,YES
227,Answear,YES
228,Answear,YES
229,Answear,YES
230,Answear,YES
231,Answear,YES
232,Answear,YES
233,Answear,YES
234,Answear,YES
235,Answear,YES
236,Answear,YES
237,Answear,NO
238,Answear,YES
239,Answear,YES
240,Answear,YES
241,Answear,YES
242,Answear,YES
243,Answear,YES
244,Answear,YES
245,Answear,YES
246,Answear,YES
247,Answear,YES
248,Answear,YES
249,Answear,YES
250,Answear,YES
251,Answear,YES
252,Answear,YES
253,Answear,NO
254,Answear,NO
255,Answear,YES
256,Answear,YES
257,Answear,YES
258,Answear,YES
259,Answear,YES
260,Answear,YES
261,Answear,YES
